State,Region
Arizona,Southwest
New Mexico,Southwest
Texas,Southwest
Oklahoma,Southwest
California,Southwest
Nevada,Southwest
Utah,Southwest
Colorado,Southwest
Alabama,Southeast
Arkansas,Southeast
Florida,Southeast
Georgia,Southeast
Kentucky,Southeast
Louisiana,Southeast
Mississippi,Southeast
North Carolina,Southeast
South Carolina,Southeast
Tennessee,Southeast
Virginia,Southeast
West Virginia,Southeast
Connecticut,Northeast
Delaware,Northeast
Maine,Northeast
Maryland,Northeast
Massachusetts,Northeast
New Hampshire,Northeast
New Jersey,Northeast
New York,Northeast
Pennsylvania,Northeast
Rhode Island,Northeast
Vermont,Northeast
Indiana,Northeast
Illinois,Northeast
Michigan,Northeast
Wisconsin,Northeast
Ohio,Northeast
Idaho,Northwest
Montana,Northwest
Oregon,Northwest
Washington,Northwest
Wyoming,Northwest
Alaska,Northwest
Hawaii,Northwest
North Dakota,Northwest
South Dakota,Northwest
Nebraska,Northwest
Kansas,Northwest
Minnesota,Northwest
Missouri,Northwest
Iowa,Northwest